scheme_name,link,authority,source,description,main_category,gender,caste_category,income_group,age_group,sector,benefit_type,occupation,disability_status,marital_family_status,raw_tag_1,raw_tag_2,raw_tag_3,raw_tag_4,raw_tag_5,raw_tag_6,raw_tag_7,raw_tag_8,raw_tag_9,raw_tag_10,raw_tag_11,raw_tag_12,raw_tag_13,raw_tag_14,raw_tag_15
Scholarship Scheme for Girl Children of Workers of Jute Mills/MSME JDP Units,https://www.myscheme.gov.in/schemes/ssfgcojmmw,Ministry of Textiles,myscheme,"National Jute Board Act, 2008 provides to “secure better working conditions and provisions and improve amenities and incentives for workers engaged in the jute industry.”",Education,Women,All / Not Specified,Not Specified,All Ages,Education,Scholarship,Entrepreneur / Business Owner,Not Specified,Not Specified,Education,Girl,Scholarship,Welfare,Worker Children,Women,Entrepreneur / Business Owner,Jute,Working Conditions,Workers Engaged,,,,,
Scholarship Scheme for Students Studying in Government Colleges,https://www.myscheme.gov.in/schemes/ssssgc,Gujarat,myscheme,"Under this scheme, scholarships of ₹3,000, ₹2,000, and ₹1,000 are provided annually to Science, Commerce, and Arts students to promote higher education.",Education,All,All / Not Specified,Not Specified,Student / Youth,Education,Scholarship,Student,Not Specified,Not Specified,Arts,College,Commerce,Higher Education,Scholarship,Science,Student,Education,Student / Youth,,,,,,
Scholarship Scheme for Worker's Children- Haryana Labour Welfare Board,https://www.myscheme.gov.in/schemes/sswc-hlwb,Haryana,myscheme,"The scheme is implemented by the Haryana Labour Welfare Board, Labour Department, Government of Haryana. The objective of this scheme is to provide financial assistance to children of workers & workers employed in industrial and commercial institutions of Haryana state to continue their studies.",Education,All,All / Not Specified,Not Specified,Student / Youth,Education,Financial Assistance / Grant,Student,Not Specified,Not Specified,Labour,Scholarship,Student,Worker,Education,Student / Youth,Financial Assistance / Grant,Haryana,Continue Studies,Commercial Institutions,,,,,
"Scholarship Scheme of Sainik School Chhingchhip, Mizoram",https://www.myscheme.gov.in/schemes/sssscm,Mizoram,myscheme,"The scheme aims to award financial scholarships to eligible boys of Mizoram domicile who are admitted to Sainik School Chhingchhip, specifically to foster their development and prepare them for future entry into the officer’s cadre of the Armed Forces. Benefits include coverage for School Fee, etc.",Education,All,All / Not Specified,Not Specified,Student / Youth,Education,Financial Assistance / Grant,Student,Not Specified,Not Specified,Defence,Education,Scholarship,Stipend,Student,Tuition,Student / Youth,Financial Assistance / Grant,,,,,,,
Scholarship To 2 Years Pre-Service Student Teachers Undergoing D.El.Ed Programme At DIETs And CTTC Sohra,https://www.myscheme.gov.in/schemes/stypsstdpdcs,Meghalaya,myscheme,"The scheme “Scholarship to 2 Years Pre-Service Student Teachers undergoing D.El.Ed Programme at DIETs and CTTC Sohra” was launched by the Dept. of Education, Govt. of Meghalaya in 2012. The scheme offers a scholarship of ₹5000 p.m. for 2 years (10 months per year) to attract the state's best talent.",Education,All,All / Not Specified,Not Specified,Student / Youth,Education,Scholarship,Student,Not Specified,Not Specified,Education,Scholarship,Student,Teacher,Teaching,Student / Youth,Govt Meghalaya,Undergoing,Talent,Attract,,,,,
Scholarship To Scheduled Castes Students Studying In Government ITI’s,https://www.myscheme.gov.in/schemes/sscssgi,,india_only,"The scheme “Scholarship to Scheduled Castes Students Studying in Government ITI's” was launched by the Dept. of Welfare of Scheduled Castes & Backward Classes, Government of Haryana in the year 2017-18. This scheme is implemented through Skill Development and Industrial Training Department, Haryana.",Education,All,SC,Not Specified,All Ages,Education,Scholarship,Not Specified,Not Specified,Not Specified,Scholarship,Scheduled Caste,Students,ITI,Skill Development,Education,SC,Castes,Haryana,Dept Welfare,,,,,
Scholarship To Son And Daughter Of Differently Abled Persons,https://www.myscheme.gov.in/schemes/ssddap,Tamil Nadu,myscheme,"The ""Scholarship to Son and Daughter of Differently Abled Persons"" scheme in Tamil Nadu is a government initiative that aims to provide financial assistance to the children of differently abled individuals for their education.",Education,Women,All / Not Specified,Not Specified,All Ages,Education,Financial Assistance / Grant,Not Specified,Persons with Disability,Not Specified,Daughter,Differently Abled Person,Scholarship,Son,Tamil Nadu,Education,Women,Financial Assistance / Grant,Persons with Disability,,,,,,
Scholarship for C.G. Domicile Students Pursuing Engineering Courses Outside Chhattisgarh State,https://www.myscheme.gov.in/schemes/sfspbbc,Chhattisgarh,myscheme,The scheme supports students in their first year and fills vacant awards in subsequent years (II/III/IV). Key benefits include financial aid to cover educational expenses and encouragement for students to pursue quality education. Eligible applicants must be Chhattisgarh domicile.,Education,All,All / Not Specified,Not Specified,Student / Youth,Education,Scholarship,Student,Not Specified,Not Specified,Education,Engineering,Scholarship,Student,Student / Youth,Iii,Subsequent,Key,Domicile,Encouragement,,,,,
Scholarship for Chhattisgarh Students Studying Outside the State,https://www.myscheme.gov.in/schemes/sfcssots,,india_only,"The scheme aims to support native Chhattisgarh students pursuing engineering degrees outside the state by providing a monthly scholarship of ₹2,000/-. This initiative benefits meritorious students enrolled in recognised engineering colleges outside Chhattisgarh.",Education,All,All / Not Specified,Not Specified,Student / Youth,Education,Scholarship,Student,Not Specified,Not Specified,Education,Scholarship,Student,Financial Support,Chhattisgarh,Student / Youth,Engineering,Recognised,Degrees,Enrolled,,,,,
Scholarship for Children of Deceased/Disabled/Retired Government Employees,https://www.myscheme.gov.in/schemes/scddrge,,india_only,"The objective of this scheme is to motivate children of government employees who are deceased, retired, or disabled. Under this scheme, scholarships ranging from ₹50/- to ₹250/- are provided to children of these government employees who are studying in Class 1 to Class 12 in government schools.",Education,All,All / Not Specified,Not Specified,Student / Youth,Education,Scholarship,Student,Persons with Disability,Not Specified,Scholarship,Deceased,Disabled,Retired,Government Employee,Student,Education,Student / Youth,Persons with Disability,,,,,,
Scholarship for Children of Ex-Servicemen for Vocational and Technical Education,https://www.myscheme.gov.in/schemes/sseces,Rajasthan,myscheme,"Under this scheme, a scholarship of ₹15,000 per year is provided to the children of ex-servicemen, from the rank of Sepoy to Havildar, who are pursuing vocational & technical education & have not received scholarship assistance under the Prime Minister's Scholarship Scheme or from any other source.",Education,All,All / Not Specified,Not Specified,Student / Youth,Education,Scholarship,Student,Not Specified,Not Specified,Ex-servicemen,Scholarship,Student,Technical Education,Vocational Education,Education,Student / Youth,Vocational Technical,Pursuing Vocational,Havildar,,,,,
Scholarship for Engineering and Medical Education,https://www.myscheme.gov.in/schemes/sfeame,Uttarakhand,myscheme,"The scheme aims to support the higher education of dependents of ex-servicemen by providing financial assistance for pursuing engineering, medical, and PhD courses. Under this scheme, annual scholarships are awarded to beneficiaries based on their course of study.",Education,All,All / Not Specified,Not Specified,Student / Youth,Education,Financial Assistance / Grant,Student,Not Specified,Not Specified,Engineering Course,Ex-serviceman,Higher Education,Medical Course,Scholarship,Student,Education,Student / Youth,Financial Assistance / Grant,,,,,,
Scholarship for Fatherless Girls,https://www.myscheme.gov.in/schemes/sfg,Madhya Pradesh,myscheme,"The objective of this scheme is to support the education of girls who have lost their fathers and are studying in government schools. Under this scheme, scholarships ranging from ₹350/- to ₹450/- are provided to eligible girls from Class 1 to Class 12.",Education,Women,All / Not Specified,Not Specified,Student / Youth,Education,Scholarship,Student,Not Specified,Orphan,Fatherless,Girl Student,Orphan,Scholarship,Education,Women,Student / Youth,Student,,,,,,,
Scholarship for Ph.D. Students of Socially and Educationally Backward Classes,https://www.myscheme.gov.in/schemes/sapssebc,Gujarat,myscheme,The scheme aims to provide financial assistance to Socially and Educationally Backward Classes (SEBC) students pursuing M.Phil. or Ph.D. to encourage higher education and research.,Education,All,All / Not Specified,Not Specified,Student / Youth,Education,Financial Assistance / Grant,Student,Not Specified,Not Specified,Higher Education,MPhil,PhD,Scholarship,Student,Education,Student / Youth,Financial Assistance / Grant,,,,,,,
Scholarship for Self Finance Colleges Students of NT/DNT,https://www.myscheme.gov.in/schemes/sfsfcs,Gujarat,myscheme,"The scheme ""Scholarship for Self Finance Colleges Students of NT/DNT"" by the Social Justice and Empowerment Department, Government of Gujarat, provides financial assistance to Nomadic and De-notified Tribe students for pursuing higher education in self-financed colleges.",Education,All,All / Not Specified,Not Specified,All Ages,Education,Financial Assistance / Grant,Not Specified,Not Specified,Not Specified,Higher Education,Nomadic And Denotified Tribe,Scholarship,Education,Financial Assistance / Grant,Colleges,Students Dnt,Nomadic De-notified,Self-financed,Tribe Students,,,,,
Scholarship on Merit Basis,https://www.myscheme.gov.in/schemes/macuk,Uttarakhand,myscheme,"The scheme aims to encourage meritorious students pursuing undergraduate and postgraduate studies at Uttarakhand Sanskrit University by awarding scholarships to those who secure the highest marks in the relevant course, class, or subject.",Education,All,All / Not Specified,Not Specified,Student / Youth,Education,Scholarship,Student,Not Specified,Not Specified,Merit,Postgraduate,Sanskrit University,Scholarship,Student,Undergraduate,Education,Student / Youth,,,,,,,
Scholarship to Disabled Students,https://www.myscheme.gov.in/schemes/stdsuk,Gujarat,myscheme,"The scheme ""Scholarship to Disabled Students"" by the Social Justice and Empowerment Department aims to provide financial assistance to students with disabilities. Through this scheme, annual scholarships are offered to support the education of eligible students from Class 1 onwards.",Education,All,All / Not Specified,Not Specified,All Ages,Education,Financial Assistance / Grant,Not Specified,Persons with Disability,Not Specified,Education,Persons With Disabilities,Scholarship,Financial Assistance / Grant,Persons with Disability,Students,Class Onwards,Offered,Justice Empowerment,Disabled,,,,,
Scholarship to Divyang Students (Class 1 to 8),https://www.myscheme.gov.in/schemes/sdsc18,Uttarakhand,myscheme,"The scheme aims to provide financial assistance of ₹600/- for students in Class 1 to 5 and ₹960/- for students in Class 6 to 8, to regularly enrolled disable students.",Education,All,All / Not Specified,Not Specified,Student / Youth,Education,Financial Assistance / Grant,Student,Persons with Disability,Not Specified,Disabled Student,PwD,Scholarship,Student,Education,Student / Youth,Financial Assistance / Grant,Persons with Disability,,,,,,,
Scholarship to Poor Students,https://www.myscheme.gov.in/schemes/sfns,Uttarakhand,myscheme,The scheme aims to provide financial assistance to economically disadvantaged students enrolled in undergraduate and postgraduate programs at Uttarakhand Sanskrit University.,Education,All,All / Not Specified,BPL / EWS / Low Income,Student / Youth,Education,Financial Assistance / Grant,Student,Not Specified,Not Specified,Postgraduate,Sanskrit University,Scholarship,Student,Undergraduate,Education,BPL / EWS / Low Income,Student / Youth,Financial Assistance / Grant,,,,,,
